"","smallfish","ruffe","breams","roach","vimba","carassius","perch","pikeperch","burbot","predator_fish"
"smallfish",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"ruffe",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"breams",0,0,0,0,0,0,0,0,0,0
"roach",0,0,0,0,0,0,0,0,0,0
"vimba",0,0,0,0,0,0,0,0,0,0
"carassius",0,0,0,0,0,0,0,0,0,0
"perch",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"pikeperch",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"burbot",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"predator_fish",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
