species,w_inf,w_mat,k_vb,beta,sigma,biomass_cutoff,biomass_observed,a,b,catchability,mat_age,max_age,resilience,latinName,funcgr
smallfish,35,3,1,5000,2,2,0.0019,0.008,3.1,0,1,6,high,pungitius_alburnus,planktivore
ruffe,148,18,0.3,600,2,2,0.0232,0.015,3.07,0.3,1.5,10,medium,Gymnocephalus_cernua,benthivore
breams,6927,198,0.1,10000,2,2,1,0.015,3.07,1,4,15,medium,Abramis_Blicca,benthivore
roach,NA,NA,NA,8000,2,2,0.6182,NA,NA,1,NA,NA,medium,Rutillus_rutillus,benthivore
vimba,1663,38,0.2,10000,2,2,0.0879,0.008,3.13,1,4,12,medium,Vimba_vimba,benthivore
carassius,1420,14,0.13,8000,2,2,0.0351,0.013,3.05,0.5,2,10,medium,Carassius_carassius,benthivore
perch,2331,51,0.13,100,2,2,0.2236,0.01,3.09,1,3,20,low,Perca_fluviatilis,omnivore
pikeperch,5245,404,0.18,100,2,2,0.3717,0.007,3.1,1,4,15,low,Sander_lucioperca,predator
burbot,6312,259,0.15,100,2,2,0.0465,0.005,3.04,0.5,5,18,low,Lota_lota,predator
predator_fish,13945,463,0.25,100,2,2,0.0706,0.005,3.1,0.5,4,20,low,Esox_Aspius,predator
