species,funcgr,Linf,a,b,w_inf,L_mat,w_mat,k_vb,mat_age,alpha,beta,sigma,f0,z0pre,p,q,n,biomass_cutoff,Biom_trip,Scaled_biomass,max_age,resilience,latinName
smallfish,planktivore,15,0.008,3.1,35,7,3,1,1,0.6,5000,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,20,0.0019,6,high,pungitius_alburnus
ruffe,benthivore,20,0.015,3.07,148,10,18,0.3,1.5,0.6,600,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,249,0.0232,10,medium,Gymnocephalus_cernua
breams,benthivore,70,0.015,3.07,6927,22,198,0.1,4,0.6,10000,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,10760,1,15,medium,Abramis_Blicca
roach,benthivore,45,0.008,3.16,1340,18,74,0.12,3.5,0.6,8000,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,6652,0.6182,14,medium,Rutillus_rutillus
vimba,benthivore,50,0.008,3.13,1663,15,38,0.2,4,0.6,10000,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,945,0.0879,12,medium,Vimba_vimba
carassius,benthivore,45,0.013,3.05,1420,10,14,0.13,2,0.6,8000,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,378,0.0351,10,medium,Carassius_carassius
perch,omnivore,55,0.01,3.09,2331,16,51,0.13,3,0.6,100,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,2406,0.2236,20,low,Perca_fluviatilis
pikeperch,predator,80,0.007,3.1,5245,35,404,0.18,4,0.6,100,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,4000,0.3717,15,low,Sander_lucioperca
burbot,predator,100,0.005,3.04,6312,35,259,0.15,5,0.6,100,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,500,0.0465,18,low,Lota_lota
predator_fish,predator,120,0.005,3.1,13945,40,463,0.25,4,0.6,100,1.3,0.6,0.6,0.7,0.8,0.666666667,2.00,760,0.0706,20,low,Esox_Aspius
